,train,val,test
#4-1 7816B3476,True,False,False
#4-2 7816B3476,True,False,False
#4-3 7816B3476-070,True,False,False
#6-1 12422-19,True,False,False
#6-2 12422-19-064,True,False,False
#6-3 12422-19-063,True,False,False
#18-1 5165-19,True,False,False
#18-2 5165-19,True,False,False
#18-3 5165-19,True,False,False
#26-1 232-16,True,False,False
#26-2 232-16,True,False,False
#26-3 232-16,True,False,False
#33-1 7817B9793,True,False,False
#33-2 7817B9793,True,False,False
#33-3 7817B9793,True,False,False
#38-1 B21-12017-A8,True,False,False
#38-2 B21-12017-A10,True,False,False
#38-3 B21-12017-A11,True,False,False
#48-1 7815-B3143-1E,True,False,False
#48-2 7815-B3143-1H,True,False,False
#48-3 7815-B3143-1L,True,False,False
#48-4 7815-B3143-1G,True,False,False
#51-1 B-22-05617-A5,True,False,False
#51-2 B-22-05617-A8,True,False,False
#53-1 7815-B4257-H,True,False,False
#53-2 7815-B4257-G,True,False,False
#54-1 B-19-02542-A2,True,False,False
#54-2 B-19-02542-A4,True,False,False
#63-1 7816-B2245-D,True,False,False
#63-2 7816-B2245-E,True,False,False
#66-1 7815-B9613-A,True,False,False
#69-1 B18-02249-A21,True,False,False
#69-2 B18-02249-A18,True,False,False
#69-3 B18-02249-A11,True,False,False
#69-4 B18-02249-A14,True,False,False
#69-5 B18-02249-A17,True,False,False
#69-6 B18-02249-A19,True,False,False
#69-7 B18-02249-A20,True,False,False
#69-8 B18-02249-A22,True,False,False
#5-1 3505-13-065,True,False,False
#5-2 3505-13-069,True,False,False
#5-3 3505-13-066,True,False,False
#14-1 5224-18-005,True,False,False
#14-2 5224-18,True,False,False
#14-3 5224-18-015,True,False,False
#20-1 14877-13,True,False,False
#20-2 14877-13-055,True,False,False
#20-3 14877-13,True,False,False
#21-1 15997-13,True,False,False
#21-2 15997-13-061,True,False,False
#21-3 15997-13-059,True,False,False
#22-1 16293-13-062,True,False,False
#22-2 16293-13,True,False,False
#22-3 16293-13,True,False,False
#23-1 650-15,True,False,False
#23-2 650-15-004,True,False,False
#23-3 650-15-013,True,False,False
#27-1 4646-16,True,False,False
#27-2 4646-16,True,False,False
#27-3 4646-16,True,False,False
#30-1 11174-16,True,False,False
#30-2 11174-16,True,False,False
#30-3 11174-16-051,True,False,False
#35-1 B-19-09233-A5,True,False,False
#35-2 B-19-09233-A9,True,False,False
#35-3 B-19-09233-A10,True,False,False
#37-1 B-20-03357-B13,True,False,False
#37-2 B-20-03357-B14,True,False,False
#37-3 B-20-03357-B17,True,False,False
#37-4 B-20-03357-B15,True,False,False
#37-5 B-20-03357-B12,True,False,False
#37-6 B-20-03357-B11,True,False,False
#37-7 B-20-03357-B10,True,False,False
#37-8 B-20-03357-B9,True,False,False
#41-1 B23-02852-A25,True,False,False
#41-2 B23-02852-A27,True,False,False
#41-3 B23-02852-A30,True,False,False
#41-4 B23-02852-A32,True,False,False
#41-5 B23-02852-A24,True,False,False
#45-1 B23-11889-A6,True,False,False
#45-2 B23-11889-A7,True,False,False
#45-3 B23-11889-A8,True,False,False
#45-4 B23-11889-A5,True,False,False
#50-1 B25-06910-A10,True,False,False
#50-2 B25-06910-A15,True,False,False
#50-3 B25-06910-A16,True,False,False
#56-1 B-20-03470-A5,True,False,False
#56-2 B-20-03470-A6,True,False,False
#58-1 B19-08189-C5,True,False,False
#58-2 B19-08189-C6,True,False,False
#61-1 7816-B2200-1A,True,False,False
#61-2 7816-B2200-1B,True,False,False
#61-3 7816-B2200-FP1B,True,False,False
#62-1 7816-B2200-3A,True,False,False
#62-2 7816-B2200-FP3F,True,False,False
#64-1 7815-B313-C,True,False,False
#72-1 7816-B3551-1H,True,False,False
#72-2 7816-B3551-1M,True,False,False
#72-3 7816-B3551-1G,True,False,False
#2-1 7817B11902,True,False,False
#2-2 7817B11902,True,False,False
#2-3 7817B11902,True,False,False
#3-1 B-20-00998,True,False,False
#3-2 B-20-00998,True,False,False
#3-3 B-20-00998,True,False,False
#8-1 5263-19,True,False,False
#8-2 5263-19,True,False,False
#8-3 5263-19,True,False,False
#9-1 14710-16-046,True,False,False
#9-2 14710-16-045,True,False,False
#9-3 14710-16-037,True,False,False
#10-1 1164-17,True,False,False
#10-2 1164-17,True,False,False
#10-3 1164-17,True,False,False
#13-1 4176-18,True,False,False
#13-2 4176-18,True,False,False
#13-3 4176-18,True,False,False
#16-1 B-18-03270-A12,True,False,False
#16-2 B-18-03270-A14,True,False,False
#16-3 B-18-03270-A15,True,False,False
#16-4 B-18-03270-A13,True,False,False
#17-1 11670-18,True,False,False
#17-2 11670-18-025,True,False,False
#17-3 11670-18-009,True,False,False
#31-1 B-18-02412,True,False,False
#31-2 B-18-02412,True,False,False
#31-3 B-18-02412,True,False,False
#32-1 B-19-08670-A5,True,False,False
#32-2 B-19-08670-A9,True,False,False
#32-3 B-19-08670-A10,True,False,False
#32-4 B-19-08670-A7,True,False,False
#34-1 7818B5025,True,False,False
#34-2 7818B5025,True,False,False
#34-3 7818B5025,True,False,False
#39-1 B22-01428-A13,True,False,False
#39-2 B22-01428-A19,True,False,False
#39-3 B22-01428-A20,True,False,False
#40-1 B22-04307-A2,True,False,False
#40-2 B22-04307-A4,True,False,False
#40-3 B22-04307-A5,True,False,False
#42-1 B22-10323-B12,True,False,False
#42-2 B22-10323-B14,True,False,False
#42-3 B22-10323-B15,True,False,False
#43-1 B23-00682-A5,True,False,False
#43-2 B23-00682-A7,True,False,False
#43-3 B23-00682-A8,True,False,False
#43-4 B23-00682-A10,True,False,False
#43-5 B23-00682-A9,True,False,False
#43-6 B23-00682-A3,True,False,False
#43-7 B23-00682-A2,True,False,False
#44-1 B23-06684-B33,True,False,False
#44-2 B23-06684-B42,True,False,False
#44-3 B23-06684-B45,True,False,False
#44-4 B23-06684-B36,True,False,False
#44-5 B23-06684-B37,True,False,False
#44-6 B23-06684-B39,True,False,False
#44-7 B23-06684-B43,True,False,False
#44-8 B23-06684-B44,True,False,False
#44-9 B23-06684-B47,True,False,False
#44-10 B23-06684-B48,True,False,False
#46-1 B24-03425-A4,True,False,False
#46-2 B24-03425-A5,True,False,False
#46-3 B24-03425-A6,True,False,False
#46-4 B24-03425-A7,True,False,False
#46-5 B24-03425-A8,True,False,False
#47-1 B25-04665-A4,True,False,False
#47-2 B25-04665-A6,True,False,False
#47-3 B25-04665-A8,True,False,False
#47-4 B25-04665-A7,True,False,False
#47-5 B25-04665-A5,True,False,False
#49-1 7815-B7463-1F,True,False,False
#49-2 7815-B7463-1H,True,False,False
#49-3 7815-B7463-1K,True,False,False
#49-4 7815-B7463-1I,True,False,False
#49-5 7815-B7463-1J,True,False,False
#49-6 7815-B7463-1E,True,False,False
#55-1 B19-05880-B11,True,False,False
#55-2 B19-05880-B13,True,False,False
#59-1 B-20-00097-A4,True,False,False
#59-2 B-20-00097-A8,True,False,False
#59-3 B-20-00097-A2,True,False,False
#60-1 7816-B1788-1A,True,False,False
#60-2 7816-B1788-1B,True,False,False
#60-3 7816-B1788-1D,True,False,False
#67-1 B19-07597-A4,True,False,False
#68-1 B18-00886-A9,True,False,False
#68-2 B18-00886-A10,True,False,False
#68-3 B18-00886-A5,True,False,False
#68-4 B18-00886-A7,True,False,False
#68-5 B18-00886-A8,True,False,False
#68-6 B18-00886-A6,True,False,False
#70-1 B22-00299-A4,True,False,False
#70-2 B22-00299-A17,True,False,False
#70-3 B22-00299-A7,True,False,False
#70-4 B22-00299-A5,True,False,False
#70-5 B22-00299-A13,True,False,False
#71-1 7816-B2508-1F,True,False,False
#71-2 7816-B2508-1H,True,False,False
#71-3 7816-B2508-1I,True,False,False
#73-1 B-21-02803-A5,True,False,False
#73-2 B-21-02803-A6,True,False,False
#73-3 B-21-02803-A10,True,False,False
#1-1 7817B8509,False,True,False
#1-2 7817B8509,False,True,False
#1-3 7817B8509,False,True,False
#7-1 7340-19,False,True,False
#7-2 7340-19-043,False,True,False
#7-3 7340-19-042,False,True,False
#29-1 7253-16-047,False,True,False
#29-2 7253-16-092,False,True,False
#29-3 7253-16-093,False,True,False
#11-1 7197-17,False,True,False
#11-2 7197-17-034,False,True,False
#11-3 7197-17-035,False,True,False
#25-1 B-19-03893-A10,False,True,False
#25-2 B-19-03893-A11,False,True,False
#25-3 B-19-03893-A14,False,True,False
#25-4 B-19-03893-A16,False,True,False
#25-5 B-19-03893-A15,False,True,False
#25-6 B-19-03893-A8,False,True,False
#25-7 B-19-03893-A7,False,True,False
#25-8 B-19-03893-A5,False,True,False
#19-1 6709-19-052,False,True,False
#19-2 6709-19,False,True,False
#19-3 6709-19-053,False,True,False
#52-1 B21-09631-A3,False,True,False
#52-2 B21-09631-A4,False,True,False
#52-3 B21-09631-A6,False,True,False
#15-1 5937-18,False,False,True
#15-2 5937-18,False,False,True
