,train,val,test
0,#4-1 7816B3476,#1-1 7817B8509,#54-1 B-19-02542-A2
1,#4-2 7816B3476,#1-2 7817B8509,#54-2 B-19-02542-A4
2,#4-3 7816B3476-070,#1-3 7817B8509,#51-1 B-22-05617-A5
3,#7-1 7340-19,#6-1 12422-19,#51-2 B-22-05617-A8
4,#7-2 7340-19-043,#6-2 12422-19-064,#57-1 B21-07861-A5
5,#7-3 7340-19-042,#6-3 12422-19-063,#57-2 B21-07861-A6
6,#15-1 5937-18,#61-1 7816-B2200-1A,#57-3 B21-07861-A4
7,#15-2 5937-18,#61-2 7816-B2200-1B,#12-1 9764-17-033
8,#15-3 5937-18-012,#61-3 7816-B2200-FP1B,#12-2 9764-17
9,#18-1 5165-19,#41-1 B23-02852-A25,#12-3 9764-17
10,#18-2 5165-19,#41-2 B23-02852-A27,#32-1 B-19-08670-A5
11,#18-3 5165-19,#41-3 B23-02852-A30,#32-2 B-19-08670-A9
12,#26-1 232-16,#41-4 B23-02852-A32,#32-3 B-19-08670-A10
13,#26-2 232-16,#41-5 B23-02852-A24,#32-4 B-19-08670-A7
14,#26-3 232-16,#40-1 B22-04307-A2,#73-1 B-21-02803-A5
15,#28-1 4611-16-089,#40-2 B22-04307-A4,#73-2 B-21-02803-A6
16,#28-2 4611-16,#40-3 B22-04307-A5,#73-3 B-21-02803-A10
17,#28-3 4611-16,#44-1 B23-06684-B33,#13-1 4176-18
18,#33-1 7817B9793,#44-2 B23-06684-B42,#13-2 4176-18
19,#33-2 7817B9793,#44-3 B23-06684-B45,#13-3 4176-18
20,#33-3 7817B9793,#44-4 B23-06684-B36,
21,#38-1 B21-12017-A8,#44-5 B23-06684-B37,
22,#38-2 B21-12017-A10,#44-6 B23-06684-B39,
23,#38-3 B21-12017-A11,#44-7 B23-06684-B43,
24,#48-1 7815-B3143-1E,#44-8 B23-06684-B44,
25,#48-2 7815-B3143-1H,#44-9 B23-06684-B47,
26,#48-3 7815-B3143-1L,#44-10 B23-06684-B48,
27,#48-4 7815-B3143-1G,#16-1 B-18-03270-A12,
28,#53-1 7815-B4257-H,#16-2 B-18-03270-A14,
29,#53-2 7815-B4257-G,#16-3 B-18-03270-A15,
30,#63-1 7816-B2245-D,#16-4 B-18-03270-A13,
31,#63-2 7816-B2245-E,,
32,#66-1 7815-B9613-A,,
33,#69-1 B18-02249-A21,,
34,#69-2 B18-02249-A18,,
35,#69-3 B18-02249-A11,,
36,#69-4 B18-02249-A14,,
37,#69-5 B18-02249-A17,,
38,#69-6 B18-02249-A19,,
39,#69-7 B18-02249-A20,,
40,#69-8 B18-02249-A22,,
41,#5-1 3505-13-065,,
42,#5-2 3505-13-069,,
43,#5-3 3505-13-066,,
44,#11-1 7197-17,,
45,#11-2 7197-17-034,,
46,#11-3 7197-17-035,,
47,#14-1 5224-18-005,,
48,#14-2 5224-18,,
49,#14-3 5224-18-015,,
50,#20-1 14877-13,,
51,#20-2 14877-13-055,,
52,#20-3 14877-13,,
53,#21-1 15997-13,,
54,#21-2 15997-13-061,,
55,#21-3 15997-13-059,,
56,#22-1 16293-13-062,,
57,#22-2 16293-13,,
58,#22-3 16293-13,,
59,#23-1 650-15,,
60,#23-2 650-15-004,,
61,#23-3 650-15-013,,
62,#27-1 4646-16,,
63,#27-2 4646-16,,
64,#27-3 4646-16,,
65,#29-1 7253-16-047,,
66,#29-2 7253-16-092,,
67,#29-3 7253-16-093,,
68,#30-1 11174-16,,
69,#30-2 11174-16,,
70,#30-3 11174-16-051,,
71,#35-1 B-19-09233-A5,,
72,#35-2 B-19-09233-A9,,
73,#35-3 B-19-09233-A10,,
74,#37-1 B-20-03357-B13,,
75,#37-2 B-20-03357-B14,,
76,#37-3 B-20-03357-B17,,
77,#37-4 B-20-03357-B15,,
78,#37-5 B-20-03357-B12,,
79,#37-6 B-20-03357-B11,,
80,#37-7 B-20-03357-B10,,
81,#37-8 B-20-03357-B9,,
82,#45-1 B23-11889-A6,,
83,#45-2 B23-11889-A7,,
84,#45-3 B23-11889-A8,,
85,#45-4 B23-11889-A5,,
86,#50-1 B25-06910-A10,,
87,#50-2 B25-06910-A15,,
88,#50-3 B25-06910-A16,,
89,#56-1 B-20-03470-A5,,
90,#56-2 B-20-03470-A6,,
91,#58-1 B19-08189-C5,,
92,#58-2 B19-08189-C6,,
93,#62-1 7816-B2200-3A,,
